#auto generated file!
12.0;55;34;35;53;37;45;48;36;46;46;47;34;39;45
18.0;55;34;37;53;37;45;47;35;45;47;47;33;42;43
24.0;57;34;37;56;38;45;45;37;44;48;47;33;39;40
30.0;57;34;39;56;40;48;45;39;43;45;46;32;37;39
36.0;57;34;41;56;41;49;40;39;44;47;45;32;36;39
42.0;61;33;41;56;42;48;41;38;42;49;44;31;35;39
48.0;64;33;41;57;43;50;39;38;41;47;43;30;37;37
54.0;63;36;43;57;42;54;38;36;43;44;41;29;35;39
60.0;66;35;43;57;43;52;40;39;46;43;38;26;36;36
66.0;68;37;41;56;44;53;37;42;44;42;39;26;35;36
72.0;67;37;41;58;44;54;38;43;45;39;36;26;34;38
78.0;67;40;42;57;45;56;37;39;44;38;34;27;37;37
84.0;67;40;40;60;43;58;36;43;42;34;33;28;38;38
90.0;67;39;41;58;44;60;39;43;41;37;34;26;37;34
96.0;69;39;42;57;44;64;38;43;37;36;33;25;38;35
102.0;73;39;41;58;47;64;36;42;33;38;33;24;39;33
108.0;76;40;41;57;49;65;33;41;36;35;34;24;38;31
114.0;76;40;42;58;50;66;31;36;37;36;35;23;39;31
120.0;79;41;44;58;49;66;30;35;38;38;35;21;39;27
126.0;78;43;46;58;47;68;28;37;38;39;32;21;38;27
132.0;78;45;48;61;47;70;28;36;36;38;31;21;35;26
138.0;79;45;49;61;47;71;27;35;36;37;30;20;37;26
144.0;78;45;49;62;49;70;29;35;36;37;29;18;38;25
150.0;80;45;49;62;50;68;31;36;33;36;29;19;39;23
156.0;80;45;49;64;48;70;32;38;31;34;29;22;34;24
162.0;80;49;50;63;49;69;29;36;30;32;27;25;38;23
168.0;78;49;51;65;48;67;31;34;29;32;27;26;38;25
174.0;80;47;54;63;50;68;28;35;27;33;28;25;38;24
180.0;80;49;55;63;48;67;29;32;26;35;29;25;37;25
186.0;79;50;53;61;49;67;29;31;27;33;31;26;38;26
192.0;80;53;53;61;50;66;29;28;27;34;30;25;38;26
198.0;80;54;56;59;51;65;29;27;25;34;28;25;39;28
204.0;80;54;57;62;51;66;29;25;23;33;28;22;42;28
210.0;80;55;56;62;51;67;29;26;23;32;27;22;41;29
216.0;79;57;56;62;51;67;30;25;23;32;28;22;39;29
222.0;77;58;55;64;51;67;30;23;25;31;26;21;40;32
228.0;78;59;54;67;50;65;33;22;20;31;27;20;43;31
234.0;79;58;53;67;49;64;35;23;20;28;28;21;42;33
240.0;77;57;53;65;51;63;36;26;20;29;28;22;41;32
246.0;76;56;54;65;50;59;38;30;20;31;26;21;41;33
252.0;76;57;53;64;50;60;39;31;20;30;27;20;42;31
258.0;76;58;53;65;49;61;41;30;22;27;27;20;40;31
264.0;79;61;53;68;48;60;38;29;21;29;27;19;38;30
270.0;79;61;55;70;47;60;40;29;19;29;27;19;35;30
276.0;77;61;53;70;48;58;43;27;21;33;24;18;36;31
282.0;75;66;53;67;48;56;42;29;23;33;24;18;35;31
288.0;72;63;55;69;48;58;42;28;27;31;25;18;34;30
294.0;75;63;53;67;49;59;38;25;30;33;23;19;34;32
300.0;77;61;54;66;47;62;40;24;30;32;21;18;36;32
306.0;75;60;56;68;47;63;37;23;29;33;23;17;37;32
312.0;75;61;56;68;46;62;37;24;28;33;23;17;41;29
318.0;77;61;56;69;46;62;38;24;26;34;23;17;38;29
324.0;79;62;58;66;47;59;38;23;29;35;20;16;36;32
330.0;78;60;58;69;47;61;39;23;30;32;21;16;35;31
336.0;76;61;60;69;49;63;38;22;29;32;20;17;32;32
342.0;78;62;60;70;49;62;36;22;28;30;20;20;33;30
348.0;78;63;63;69;46;62;34;23;28;31;20;21;32;30
354.0;78;69;60;71;45;59;34;23;28;30;19;24;30;30
360.0;76;71;58;71;45;61;34;22;29;30;18;24;27;34
366.0;75;71;59;70;46;61;33;25;28;28;19;26;25;34
372.0;76;72;58;70;46;60;30;27;27;30;18;26;26;34
378.0;77;73;59;70;47;60;28;27;29;27;18;25;26;34
384.0;78;71;56;69;48;61;30;27;29;27;18;24;28;34
390.0;77;72;59;68;50;61;28;31;26;27;16;24;27;34
396.0;76;72;60;68;48;61;26;32;26;27;17;24;29;34
402.0;76;74;61;69;49;60;27;31;26;27;19;24;25;32
408.0;76;71;60;68;51;59;28;26;26;27;21;26;26;35
414.0;76;69;59;68;53;59;28;25;24;26;23;29;29;32
420.0;75;69;58;66;52;64;29;25;22;27;24;27;30;32
426.0;74;70;57;67;50;62;28;26;22;30;24;28;29;33
432.0;72;73;56;71;50;61;26;25;21;31;24;28;29;33
438.0;72;72;53;71;52;64;25;25;22;32;25;26;28;33
444.0;72;73;52;72;56;63;25;25;23;30;25;27;27;30
450.0;73;72;53;71;56;63;24;25;22;31;25;29;26;30
456.0;74;73;53;72;56;63;25;26;24;30;22;26;24;32
462.0;73;73;52;73;57;64;24;26;26;29;24;26;22;31
468.0;72;73;52;73;55;66;23;27;27;28;26;26;23;29
474.0;72;72;53;72;57;64;22;28;28;29;27;27;23;26
480.0;71;73;53;72;58;67;22;27;28;29;25;25;24;26
486.0;73;74;53;72;55;67;24;27;28;30;25;24;23;25
492.0;72;76;55;71;56;65;24;27;28;30;26;23;21;26
498.0;74;75;53;72;56;65;24;27;28;29;29;21;21;26
504.0;74;73;54;72;56;65;24;26;28;30;28;22;24;24
510.0;73;74;54;70;56;66;26;27;28;32;28;21;22;23
516.0;72;74;54;70;57;64;27;29;26;31;27;23;21;25
