#auto generated file!
6.0;0.0;0.0;0.0
12.0;0.32142857142857145;0.0;0.0
18.0;4.035714285714286;0.0;0.0
24.0;8.535714285714286;0.0;0.0
30.0;15.357142857142858;0.0;0.0
36.0;22.125;0.0;0.0
42.0;30.339285714285715;0.0;0.0
48.0;31.375;0.0;0.0
54.0;34.892857142857146;0.0;0.0
60.0;35.464285714285715;0.0;0.0
66.0;28.071428571428573;0.0;0.0
72.0;24.071428571428573;0.0;0.0
78.0;22.607142857142858;0.0;0.0
84.0;19.0;0.0;0.0
90.0;20.767857142857142;0.0;0.0
96.0;19.982142857142858;0.0;0.0
102.0;23.678571428571427;0.0;0.0
108.0;33.392857142857146;0.0;0.0
114.0;37.714285714285715;0.0;0.0
120.0;35.017857142857146;0.0;0.0
126.0;30.464285714285715;0.0;0.0
132.0;24.964285714285715;0.0;0.0
138.0;15.964285714285714;0.0;0.0
144.0;14.303571428571429;0.0;0.0
150.0;13.339285714285714;0.0;0.0
156.0;14.267857142857142;0.0;0.0
162.0;17.946428571428573;0.0;0.0
168.0;22.0;0.0;0.0
174.0;25.410714285714285;0.0;0.0
180.0;26.732142857142858;0.0;0.0
186.0;29.410714285714285;0.0;0.0
192.0;30.25;0.0;0.0
198.0;29.625;0.0;0.0
204.0;24.5;0.0;0.0
210.0;20.142857142857142;0.0;0.0
216.0;20.785714285714285;0.0;0.0
222.0;23.017857142857142;0.0;0.0
228.0;23.839285714285715;0.0;0.0
234.0;26.982142857142858;0.0;0.0
240.0;26.571428571428573;0.0;0.0
246.0;28.017857142857142;0.0;0.0
252.0;21.75;0.0;0.0
258.0;25.839285714285715;0.0;0.0
264.0;29.964285714285715;0.0;0.0
270.0;26.839285714285715;0.0;0.0
276.0;27.892857142857142;0.0;0.0
282.0;29.285714285714285;0.0;0.0
288.0;31.375;0.0;0.0
294.0;29.053571428571427;0.0;0.0
300.0;21.964285714285715;0.0;0.0
306.0;18.482142857142858;0.0;0.0
312.0;18.053571428571427;0.0;0.0
318.0;16.517857142857142;0.0;0.0
324.0;18.446428571428573;0.0;0.0
330.0;21.0;0.0;0.0
336.0;25.339285714285715;0.0;0.0
342.0;32.232142857142854;0.0;0.0
348.0;32.535714285714285;0.0;0.0
354.0;32.44642857142857;0.0;0.0
360.0;25.535714285714285;0.0;0.0
366.0;21.303571428571427;0.0;0.0
372.0;14.089285714285714;0.0;0.0
378.0;14.625;0.0;0.0
384.0;13.857142857142858;0.0;0.0
390.0;11.214285714285714;0.0;0.0
396.0;17.035714285714285;0.0;0.0
402.0;22.589285714285715;0.0;0.0
408.0;29.571428571428573;0.0;0.0
414.0;35.67857142857143;0.0;0.0
420.0;36.607142857142854;0.0;0.0
426.0;33.910714285714285;0.0;0.0
432.0;30.428571428571427;0.0;0.0
438.0;24.303571428571427;0.0;0.0
444.0;19.696428571428573;0.0;0.0
450.0;19.875;0.0;0.0
456.0;19.196428571428573;0.0;0.0
462.0;23.821428571428573;0.0;0.0
