#auto generated file!
12.0;17;11;15;11;11;14;16;17;13;20;13;21;13;8
18.0;17;11;15;12;14;14;15;18;12;20;12;20;13;7
24.0;18;13;14;12;13;13;16;17;12;19;13;20;13;7
30.0;18;13;15;11;15;13;17;17;11;17;11;21;14;7
36.0;19;13;16;11;15;13;16;17;11;17;10;21;14;7
42.0;18;16;15;13;15;13;15;16;11;17;9;21;14;7
48.0;19;16;16;13;15;13;15;15;11;16;8;21;14;8
54.0;19;16;16;13;15;13;14;13;12;17;8;20;14;10
60.0;20;16;15;13;15;15;14;14;13;15;9;17;13;11
66.0;20;16;16;13;15;15;14;15;13;16;8;16;14;9
72.0;20;16;16;13;15;16;16;14;13;16;7;15;14;9
78.0;20;17;16;12;17;16;16;14;14;15;8;13;14;8
84.0;20;19;16;14;15;17;15;12;13;14;8;13;15;9
90.0;20;19;17;15;15;17;18;11;13;13;7;15;11;9
96.0;22;17;17;15;15;17;19;12;12;15;5;15;11;8
102.0;22;20;16;15;14;17;19;12;13;14;5;14;11;8
108.0;22;21;16;16;13;18;19;13;10;14;6;12;12;8
114.0;22;21;18;17;13;18;17;12;11;14;7;12;10;8
120.0;23;21;19;17;13;18;17;10;11;13;8;12;10;8
126.0;25;22;18;18;13;18;17;8;11;12;8;12;10;8
132.0;25;21;18;17;13;21;16;7;11;12;9;10;11;9
138.0;26;21;18;18;12;20;16;7;11;12;8;10;12;9
144.0;26;21;18;18;13;20;15;6;11;11;9;10;13;9
150.0;26;21;19;17;13;20;16;5;11;10;9;11;13;9
156.0;28;21;18;17;14;21;19;4;10;9;7;10;14;8
162.0;29;21;17;17;14;22;17;5;11;8;6;10;15;8
168.0;29;21;17;17;14;22;18;5;10;9;7;9;14;8
174.0;29;21;17;16;15;21;18;5;10;8;7;8;15;10
180.0;28;20;18;16;15;21;17;6;11;8;8;7;15;10
186.0;28;21;18;16;15;21;16;5;12;7;9;7;15;10
192.0;28;20;19;17;15;21;15;5;12;7;9;7;15;10
198.0;27;20;18;17;15;21;16;5;12;8;9;6;16;10
204.0;26;20;17;18;15;21;15;7;12;9;9;6;15;10
210.0;26;19;18;18;15;19;17;7;12;10;9;7;16;7
216.0;26;18;19;18;15;19;17;6;11;11;10;7;15;8
222.0;26;19;19;19;14;20;16;6;11;11;10;7;15;7
228.0;27;19;19;19;14;19;14;7;11;12;10;7;15;7
234.0;26;20;18;21;13;19;14;6;11;11;11;8;15;7
240.0;26;21;17;22;13;20;14;6;10;12;10;9;14;6
246.0;26;21;19;21;13;22;14;5;9;12;9;8;14;7
252.0;26;21;19;21;13;22;12;6;9;13;9;8;14;7
258.0;25;22;19;21;13;23;11;6;8;13;9;8;14;8
264.0;25;21;19;21;13;25;11;6;8;14;8;7;14;8
270.0;27;20;18;21;12;24;12;8;9;13;7;7;14;8
276.0;25;21;19;20;12;25;12;8;9;13;7;7;14;8
282.0;25;20;20;19;13;24;12;8;9;14;8;7;13;8
288.0;25;20;20;19;15;24;12;8;9;14;7;6;13;8
294.0;24;20;19;20;15;24;11;8;8;14;8;6;14;9
300.0;24;20;19;22;15;24;11;7;10;13;7;5;14;9
306.0;24;20;19;22;16;24;10;7;11;13;7;4;14;9
312.0;24;20;19;21;15;25;10;8;11;13;7;4;13;10
318.0;23;19;19;22;14;27;11;8;11;12;7;4;12;11
324.0;23;19;18;22;17;29;11;6;10;13;6;5;12;9
330.0;23;19;18;22;18;27;11;6;10;13;6;5;12;10
336.0;22;17;17;22;19;28;10;5;10;15;6;6;13;10
342.0;22;17;17;21;20;30;9;4;10;14;6;6;14;10
348.0;22;18;17;20;20;29;8;4;10;15;6;7;14;10
354.0;22;18;17;20;20;29;8;5;10;14;6;7;15;9
360.0;22;18;17;20;21;28;7;5;10;13;6;7;17;9
366.0;23;20;18;20;21;27;6;6;8;10;7;9;15;10
372.0;25;19;18;21;22;26;9;7;6;10;7;7;14;9
378.0;25;20;19;21;22;25;8;6;7;10;6;6;16;9
384.0;26;18;19;23;22;25;8;5;7;9;6;6;16;10
390.0;26;18;19;22;22;25;9;6;8;9;6;7;15;8
396.0;24;19;19;22;20;24;9;7;8;10;7;7;16;8
402.0;25;21;19;22;19;25;7;7;8;10;7;7;15;8
408.0;26;20;18;24;18;26;8;5;7;11;7;6;16;8
414.0;25;20;17;24;18;25;8;5;7;11;9;6;16;9
420.0;24;20;17;24;18;25;8;5;8;11;9;6;15;10
426.0;24;19;18;23;20;24;9;5;9;10;10;5;14;10
432.0;24;19;17;22;20;25;9;6;10;9;10;5;14;10
438.0;24;20;17;22;18;25;10;6;9;9;11;5;13;11
444.0;22;20;17;24;17;25;10;6;9;9;10;6;13;12
450.0;22;19;17;24;16;26;10;6;9;9;10;7;13;12
456.0;22;19;17;23;16;26;8;7;10;9;10;7;13;13
462.0;21;20;17;23;16;26;9;8;10;8;9;6;14;13
468.0;21;20;17;23;17;25;10;9;10;8;8;6;14;12
474.0;21;20;17;23;18;25;10;9;9;8;8;6;14;12
480.0;21;21;17;23;18;25;10;8;9;7;8;6;14;13
486.0;21;24;16;23;18;25;9;8;10;6;8;7;13;12
492.0;20;24;17;22;18;25;9;9;9;6;8;8;13;12
498.0;20;24;17;21;19;24;10;9;9;7;8;8;13;11
504.0;21;25;17;21;19;24;12;8;6;7;8;8;14;10
510.0;22;25;18;20;19;23;13;8;5;8;8;8;13;10
516.0;21;28;17;20;19;24;12;7;4;9;7;9;13;10
522.0;21;28;19;20;18;24;13;8;3;10;6;7;14;9
528.0;23;28;18;21;18;24;13;8;2;9;6;9;13;8
534.0;23;28;18;21;18;24;13;8;2;10;6;9;12;8
540.0;23;28;20;21;18;23;13;8;2;11;4;9;12;8
546.0;23;28;19;22;17;24;13;8;2;10;4;9;12;9
552.0;23;27;19;21;18;22;15;8;2;11;5;9;11;9
558.0;23;27;19;23;18;22;15;8;2;11;4;9;11;8
564.0;22;27;19;22;18;22;15;8;2;12;4;10;11;8
570.0;21;28;19;23;18;21;15;8;5;11;3;10;10;8
576.0;21;30;18;23;18;20;15;9;4;10;4;10;10;8
582.0;22;29;18;21;21;19;15;12;4;8;3;10;11;7
588.0;22;28;19;21;21;20;15;11;5;7;1;9;12;9
